Ordem Carga;Logística Ent.;CNPJ;Nº Nota;Cliente;Cidade.;U.F;Vlr. Nota;Dt. Conf.;Faturamento;Data Chegada Opl.;Data Agendamento;Obs. Logística;Devolvido;Devolução Pend.;Canhoto;Entrega;Nu Ped. Cliente;Transportadora;Prev. Agenda Venda;Vend;Data Canhoto;TipoEntrega;LeadTime;Nº Nota Dev
2631;CARRARO ARMAZENS GERAIS LTDA;03644587000755;9323;SANCHES E VECCHIATE - APUCARANA - LJ 9;APUCARANA;PR;3950,32;20/07/2026 14:34:12;21/07/2026;;;;;;;;2439477080;CARRARO ARMAZENS GERAIS LTDA;;VEND.MARIA;;Operador Logístico;1;
2631;CARRARO ARMAZENS GERAIS LTDA;03644587001565;9324;SANCHES E VECCHIATE LTDA - BOX ATAC;FAXINAL;PR;3251,67;20/07/2026 14:36:32;21/07/2026;;;;;;;;2439478080;CARRARO ARMAZENS GERAIS LTDA;;VEND.MARIA;;Operador Logístico;1;
2631;CARRARO ARMAZENS GERAIS LTDA;03644587000402;9325;SANCHES E VECCHIATE LTDA BOX ATACADISTA;ARAPONGAS;PR;392,2;20/07/2026 14:36:54;21/07/2026;;;;;;;;2439481080;CARRARO ARMAZENS GERAIS LTDA;;VEND.MARIA;;Operador Logístico;1;
2631;CARRARO ARMAZENS GERAIS LTDA;03644587000674;9326;SANCHES E VECCHIATE - CORNELIO LJ 4;CORNÉLIO PROCÓPIO;PR;3224,88;20/07/2026 14:35:25;21/07/2026;;;;;;;;2439475080;CARRARO ARMAZENS GERAIS LTDA;;VEND.MARIA;;Operador Logístico;1;
2631;CARRARO ARMAZENS GERAIS LTDA;03644587000240;9327;SANCHES E VECCHIATE - ARAPONGAS LJ 2;ARAPONGAS;PR;3850,59;20/07/2026 14:34:52;21/07/2026;;;;;;;;2439474080;CARRARO ARMAZENS GERAIS LTDA;;VEND.MARIA;;Operador Logístico;1;
2631;CARRARO ARMAZENS GERAIS LTDA;03644587001484;9328;SANCHES E VECCHIATE LTDA;TELÊMACO BORBA;PR;2156,23;20/07/2026 14:35:48;21/07/2026;;;;;;;;2439479080;CARRARO ARMAZENS GERAIS LTDA;;VEND.MARIA;;Operador Logístico;1;
2631;CARRARO ARMAZENS GERAIS LTDA;03644587002022;9329;SANCHES E VECCHIATE LTDA;TIBAGI;PR;2275,11;20/07/2026 14:36:10;21/07/2026;;;;;;;;2439480080;CARRARO ARMAZENS GERAIS LTDA;;VEND.MARIA;;Operador Logístico;1;
2631;CARRARO ARMAZENS GERAIS LTDA;03644587000836;9330;BOX ATACADISTA;STO ANTONIO PLATINA;PR;3322,61;20/07/2026 14:37:46;21/07/2026;;;;;;;;2439476080;CARRARO ARMAZENS GERAIS LTDA;;VEND.MARIA;;Operador Logístico;1;
;;;;;;;22.423,61;;;;;;;;;;;;;;;;1,00;
